datetime,vote_amount,block_amount
15/02/2021 22:17,22209963.1276,11501
15/02/2021 22:18,22209963.1276,11501
15/02/2021 22:19,22209963.1276,11501
15/02/2021 22:20,22209963.1276,11501
15/02/2021 22:21,22209963.1276,11501
15/02/2021 22:22,22209963.1276,11501
15/02/2021 22:23,22209963.1276,11501
15/02/2021 22:24,22209963.1276,11501
15/02/2021 22:25,22209963.1276,11501
15/02/2021 22:26,22209963.1276,11501
15/02/2021 22:27,22209963.1276,11501
15/02/2021 22:28,22209963.1276,11501
15/02/2021 22:29,22209963.1276,11501
15/02/2021 22:30,22209963.1276,11501
15/02/2021 22:31,22209963.1276,11501
15/02/2021 22:32,22209963.1276,11501
15/02/2021 22:33,22209963.1276,11501
15/02/2021 22:34,22209963.1276,11501
15/02/2021 22:35,22209963.1276,11501
15/02/2021 22:36,22209963.1276,11501
15/02/2021 22:37,22209963.1276,11501
15/02/2021 22:38,22209963.1276,11501
15/02/2021 22:39,22209963.1276,11501
15/02/2021 22:40,22209963.1276,11501
15/02/2021 22:41,22209963.1276,11501
15/02/2021 22:42,22209963.1276,11501
15/02/2021 22:43,22209963.1276,11501
15/02/2021 22:44,22209963.1276,11501
15/02/2021 22:45,22209963.1276,11501
15/02/2021 22:46,22209963.1276,11501
15/02/2021 22:47,22209963.1276,11501
15/02/2021 22:48,22209963.1276,11501
15/02/2021 22:49,22209963.1276,11501
15/02/2021 22:50,22209963.1276,11501
15/02/2021 22:51,22209963.1276,11501
15/02/2021 22:52,22209963.1276,11501
15/02/2021 22:53,22209963.1276,11501
15/02/2021 22:54,22209963.1276,11501
15/02/2021 23:03,22209963.1276,11501
15/02/2021 23:13,22209963.1276,11501
15/02/2021 23:23,22210163.1676,11503
15/02/2021 23:33,22210263.1676,11504
15/02/2021 23:43,22210263.1676,11504
15/02/2021 23:53,22210363.1676,11505
16/02/2021 00:03,22210563.1776,11507
16/02/2021 00:13,22210663.1876,11508
16/02/2021 00:23,22210863.1876,11510
16/02/2021 00:33,22210863.1876,11510
16/02/2021 00:43,22210863.1876,11510
16/02/2021 00:53,22210863.1876,11510
16/02/2021 01:03,22210863.1876,11510
16/02/2021 01:13,22211063.2076,11512
16/02/2021 01:23,22211063.2076,11512
16/02/2021 01:33,22211163.2376,11513
16/02/2021 01:43,22212269.2025,11514
16/02/2021 01:53,22213534.7856,11516
16/02/2021 02:03,22213634.7856,11517
16/02/2021 02:13,22213734.8256,11518
16/02/2021 02:23,22213934.9056,11520
16/02/2021 02:33,22214034.9056,11521
16/02/2021 02:43,22214034.9056,11521
16/02/2021 02:53,22214134.9056,11522
16/02/2021 03:03,22214134.9056,11522
16/02/2021 03:13,22215436.811,11525
16/02/2021 03:23,22215436.811,11525
16/02/2021 03:33,22229948.374,11525
16/02/2021 03:43,22230348.404,11529
16/02/2021 03:53,22230448.424,11530
16/02/2021 04:03,22320448.394,11530
16/02/2021 04:13,22403488.841,11530
16/02/2021 04:23,22403688.861,11532
16/02/2021 04:33,22409446.2349,11532
16/02/2021 04:43,22409446.2349,11532
16/02/2021 04:53,22409446.2349,11532
16/02/2021 05:03,22409546.2449,11533
16/02/2021 05:13,22409546.2449,11533
16/02/2021 05:23,22409646.2649,11534
16/02/2021 05:33,22409746.2749,11535
16/02/2021 05:43,22409317.9735,11535
16/02/2021 05:53,22409518.0135,11537
16/02/2021 06:03,22409618.0335,11538
16/02/2021 06:13,22409618.0335,11538
16/02/2021 06:23,22409718.0435,11539
16/02/2021 06:33,22409818.0435,11540
16/02/2021 06:43,22409918.0535,11541
16/02/2021 06:53,22409918.0535,11541
16/02/2021 07:03,22412038.1759,11542
16/02/2021 07:13,22412262.1188,11544
16/02/2021 07:23,22412362.1188,11545
16/02/2021 07:33,22412362.1188,11545
16/02/2021 07:43,22413462.0188,11546
16/02/2021 07:53,22413562.0488,11547
16/02/2021 08:03,22414661.9588,11548
16/02/2021 08:13,22414661.9588,11548
16/02/2021 08:23,22414761.9688,11549
16/02/2021 08:33,22414761.9688,11549
16/02/2021 08:43,22415861.8588,11550
16/02/2021 08:53,22415961.8588,11551
16/02/2021 09:03,22415961.8588,11551
16/02/2021 09:13,22415961.8588,11551
16/02/2021 09:23,22415961.8588,11552
16/02/2021 09:33,22419061.5688,11553
16/02/2021 09:43,22419161.5688,11553
16/02/2021 09:53,22419161.5688,11553
16/02/2021 10:13,22419261.5988,11554
16/02/2021 10:23,22419361.6188,11555
16/02/2021 10:33,22419461.6488,11556
16/02/2021 10:43,22419561.6488,11557
16/02/2021 10:53,22419561.6488,11557
16/02/2021 11:03,22419561.6488,11557
16/02/2021 11:13,22328313.9373,11558
16/02/2021 11:23,22328420.8401,11560
16/02/2021 11:33,22316920.9699,11560
16/02/2021 11:43,22317041.9475,11561
16/02/2021 11:53,22317041.9475,11561
16/02/2021 12:03,22317148.2423,11562
16/02/2021 12:13,22317164.0088,11562
16/02/2021 12:23,22317264.0188,11563
16/02/2021 12:33,22317264.0188,11563
16/02/2021 12:43,22317264.0188,11563
16/02/2021 12:53,22317264.0188,11563
16/02/2021 13:03,22317371.6738,11563
16/02/2021 13:13,22317580.3968,11565
16/02/2021 13:23,22289287.6561,11566
16/02/2021 13:33,22289287.6561,11566
16/02/2021 13:43,22289287.6561,11566
16/02/2021 13:53,22289948.7364,11567
16/02/2021 14:00,22289948.7364,11567
16/02/2021 14:05,22289948.7364,11567
16/02/2021 14:10,22289948.7364,11567
16/02/2021 14:15,22289948.7364,11568
16/02/2021 14:20,22290048.7464,11568
16/02/2021 14:25,22290048.7464,11568
16/02/2021 14:30,22290148.7964,11569
16/02/2021 14:35,22290148.7964,11569
16/02/2021 14:40,22290248.8764,11570
16/02/2021 14:45,22290348.8864,11571
16/02/2021 14:50,22290348.8864,11571
16/02/2021 14:55,22290348.8864,11571
16/02/2021 15:00,22290348.8864,11571
16/02/2021 15:05,22290348.8864,11571
16/02/2021 15:10,22290348.8864,11571
16/02/2021 15:15,22290348.8864,11571
16/02/2021 15:20,22290448.9064,11572
16/02/2021 15:25,22290448.9064,11572
16/02/2021 15:30,22290548.9064,11573
16/02/2021 15:35,22290548.9064,11573
16/02/2021 15:40,22290548.9064,11573
16/02/2021 15:45,22290748.9564,11575
16/02/2021 15:50,22290748.9564,11575
16/02/2021 15:55,22290748.9564,11575
16/02/2021 16:00,22290849.0064,11576
16/02/2021 16:05,22290970.0623,11577
16/02/2021 16:10,22290970.0623,11577
16/02/2021 16:15,22290970.0623,11577
16/02/2021 16:20,22291070.0823,11578
16/02/2021 16:25,22291070.0823,11578
16/02/2021 16:30,22292347.1079,11580
16/02/2021 16:35,22292347.1079,11580
16/02/2021 16:40,22293373.3346,11580
16/02/2021 16:45,22293473.3446,11581
16/02/2021 16:50,22293473.3446,11581
16/02/2021 16:55,22293473.3446,11581
16/02/2021 17:00,22293473.3446,11581
16/02/2021 17:05,22293475.4982,11581
16/02/2021 17:10,22293575.5182,11582
16/02/2021 17:15,22293575.5182,11582
16/02/2021 17:20,22293675.5182,11583
16/02/2021 17:28,22293675.5182,11583
16/02/2021 17:33,22293875.5382,11586
16/02/2021 17:38,22293975.5582,11586
16/02/2021 17:43,22293975.5582,11586
16/02/2021 17:48,22293975.5582,11586
16/02/2021 17:53,22293975.5582,11586
16/02/2021 17:58,22293975.5582,11586
16/02/2021 18:03,22293975.5582,11586
16/02/2021 18:08,22293975.5582,11586
16/02/2021 18:13,22293975.5582,11586
16/02/2021 18:19,22293975.5582,11586
16/02/2021 18:23,22106587.3984,11586
16/02/2021 18:28,22106587.3984,11586
16/02/2021 18:33,22106687.4184,11587
16/02/2021 18:38,22106687.4184,11587
16/02/2021 18:43,22106687.4184,11588
16/02/2021 18:48,22106787.4184,11588
16/02/2021 18:53,22106787.4184,11588
16/02/2021 18:58,22106887.4284,11589
16/02/2021 19:03,22106887.4284,11589
16/02/2021 19:08,22106887.4284,11589
16/02/2021 19:13,22107995.383,11590
16/02/2021 19:18,22107995.383,11590
16/02/2021 19:23,22108095.383,11591
16/02/2021 19:28,22108195.383,11592
16/02/2021 19:33,22108295.383,11593
16/02/2021 19:38,22108295.383,11593
16/02/2021 19:43,22108295.383,11593
16/02/2021 19:48,22108295.383,11593
16/02/2021 19:53,22108395.383,11594
16/02/2021 19:58,22108395.383,11594
16/02/2021 20:03,22095802.6931,11596
16/02/2021 20:08,22095802.6931,11597
16/02/2021 20:13,22096102.6931,11600
16/02/2021 20:18,22096202.6931,11600
16/02/2021 20:23,22096202.6931,11600
16/02/2021 20:28,22096202.6931,11600
16/02/2021 20:33,22096302.6931,11601
