datetime,vote_amount,block_amount
15/02/2021 22:17,29912232.7751,58717
15/02/2021 22:18,29912332.7751,58718
15/02/2021 22:19,29912332.7751,58718
15/02/2021 22:20,29912332.7751,58718
15/02/2021 22:21,29912332.7751,58718
15/02/2021 22:22,29912332.7751,58718
15/02/2021 22:23,29912332.7751,58718
15/02/2021 22:24,29912332.7751,58718
15/02/2021 22:25,29912332.7751,58718
15/02/2021 22:26,29912332.7751,58718
15/02/2021 22:27,29912432.7751,58719
15/02/2021 22:28,29912432.7751,58719
15/02/2021 22:29,29912432.7751,58719
15/02/2021 22:30,29912432.7751,58719
15/02/2021 22:31,29912432.7751,58719
15/02/2021 22:32,29912532.7751,58720
15/02/2021 22:33,29912532.7751,58720
15/02/2021 22:34,29912532.7751,58720
15/02/2021 22:35,29912532.7751,58720
15/02/2021 22:36,29912532.7751,58720
15/02/2021 22:37,29912532.7751,58720
15/02/2021 22:38,29912532.7751,58720
15/02/2021 22:39,29912532.7751,58720
15/02/2021 22:40,29912532.7751,58720
15/02/2021 22:41,29912532.7751,58720
15/02/2021 22:42,29912532.7751,58720
15/02/2021 22:43,29912532.7751,58720
15/02/2021 22:44,29912532.7751,58720
15/02/2021 22:45,29912532.7751,58720
15/02/2021 22:46,29912532.7751,58720
15/02/2021 22:47,29912532.7751,58720
15/02/2021 22:48,29912532.7751,58720
15/02/2021 22:49,29912532.7751,58720
15/02/2021 22:50,29912532.7751,58720
15/02/2021 22:51,29912532.7751,58720
15/02/2021 22:52,29912532.7751,58720
15/02/2021 22:53,29912632.7751,58721
15/02/2021 22:54,29912632.7751,58721
15/02/2021 23:03,29912732.7751,58722
15/02/2021 23:13,29912832.7751,58724
15/02/2021 23:23,29913032.8251,58725
15/02/2021 23:33,29913232.8351,58727
15/02/2021 23:43,29913332.8551,58728
15/02/2021 23:53,29912387.9588,58730
16/02/2021 00:03,29912387.9588,58730
16/02/2021 00:13,29912487.9588,58731
16/02/2021 00:23,29912688.0088,58733
16/02/2021 00:33,29912788.0088,58734
16/02/2021 00:43,29912961.6688,58735
16/02/2021 00:53,29913161.8088,58737
16/02/2021 01:03,29913461.9288,58740
16/02/2021 01:13,29913561.9588,58741
16/02/2021 01:23,29913561.9588,58741
16/02/2021 01:33,29913826.181,58742
16/02/2021 01:43,29914126.291,58745
16/02/2021 01:53,29914126.291,58745
16/02/2021 02:03,29914226.301,58746
16/02/2021 02:13,29914426.351,58748
16/02/2021 02:23,29914526.361,58749
16/02/2021 02:33,29914526.361,58749
16/02/2021 02:43,29914826.461,58752
16/02/2021 02:53,29914926.461,58753
16/02/2021 03:03,29915026.521,58754
16/02/2021 03:13,29915226.581,58756
16/02/2021 03:23,29915326.601,58757
16/02/2021 03:33,29915326.601,58757
16/02/2021 03:43,29915426.611,58758
16/02/2021 03:53,29915626.621,58760
16/02/2021 04:03,29825826.681,58762
16/02/2021 04:13,29826026.721,58764
16/02/2021 04:23,29826026.721,58764
16/02/2021 04:33,29827226.671,58766
16/02/2021 04:43,29827226.671,58766
16/02/2021 04:53,29827326.781,58767
16/02/2021 05:03,29827326.781,58767
16/02/2021 05:13,29927371.7973,58767
16/02/2021 05:23,29927671.8673,58770
16/02/2021 05:33,29927771.8873,58771
16/02/2021 05:43,29927871.8873,58772
16/02/2021 05:53,29927871.8873,58772
16/02/2021 06:03,29927971.8873,58773
16/02/2021 06:13,29928071.9073,58774
16/02/2021 06:23,29928071.9073,58774
16/02/2021 06:33,29928271.9273,58776
16/02/2021 06:43,29928271.9273,58776
16/02/2021 06:53,29928371.9473,58778
16/02/2021 07:03,29928672.0573,58780
16/02/2021 07:13,29928772.0773,58781
16/02/2021 07:23,29929072.1073,58784
16/02/2021 07:33,29929172.1073,58785
16/02/2021 07:43,29929272.1373,58787
16/02/2021 07:53,29929372.1473,58787
16/02/2021 08:03,29929572.2273,58789
16/02/2021 08:13,29929572.2273,58789
16/02/2021 08:23,29929872.2773,58792
16/02/2021 08:33,29930072.3573,58794
16/02/2021 08:43,29930072.3573,58794
16/02/2021 08:53,29930572.4273,58799
16/02/2021 09:03,29930772.4573,58801
16/02/2021 09:13,29930772.4573,58801
16/02/2021 09:23,29929399.9573,58801
16/02/2021 09:33,29929499.9673,58802
16/02/2021 09:43,29929699.9873,58804
16/02/2021 09:53,29929800.0173,58805
16/02/2021 10:13,29929800.0173,58805
16/02/2021 10:23,30011968.407,58805
16/02/2021 10:33,30012268.467,58808
16/02/2021 10:43,30012571.847,58811
16/02/2021 10:53,30012771.887,58813
16/02/2021 11:03,30012971.927,58815
16/02/2021 11:13,30104359.9963,58815
16/02/2021 11:23,30091454.1163,58815
16/02/2021 11:33,30223953.3999,58816
16/02/2021 11:43,30224126.3747,58817
16/02/2021 11:53,30224281.818,58818
16/02/2021 12:03,30223381.788,58819
16/02/2021 12:13,30223481.818,58820
16/02/2021 12:23,30223581.838,58821
16/02/2021 12:33,30223681.868,58822
16/02/2021 12:43,30223881.948,58824
16/02/2021 12:53,30223981.958,58825
16/02/2021 13:03,30224182.038,58827
16/02/2021 13:13,30224182.038,58827
16/02/2021 13:23,30392652.21,58827
16/02/2021 13:33,30429078.4666,58828
16/02/2021 13:43,30429178.4766,58829
16/02/2021 13:53,30429278.5066,58830
16/02/2021 14:00,30429478.5266,58832
16/02/2021 14:05,30429478.5266,58832
16/02/2021 14:10,30429478.5266,58832
16/02/2021 14:15,30429578.5566,58833
16/02/2021 14:20,30429678.5966,58835
16/02/2021 14:25,30429978.7566,58837
16/02/2021 14:30,30430178.8266,58839
16/02/2021 14:35,30430478.9766,58842
16/02/2021 14:40,30430579.0466,58843
16/02/2021 14:45,30430579.0466,58843
16/02/2021 14:50,30430579.0466,58843
16/02/2021 14:55,30430579.0466,58843
16/02/2021 15:00,30430679.1066,58844
16/02/2021 15:05,30480794.9097,58844
16/02/2021 15:10,30480794.9097,58844
16/02/2021 15:15,30480794.9097,58844
16/02/2021 15:20,30480898.2321,58845
16/02/2021 15:25,30480998.2621,58846
16/02/2021 15:30,30481098.3221,58847
16/02/2021 15:35,30481098.3221,58847
16/02/2021 15:40,30481198.3221,58848
16/02/2021 15:45,30481304.0207,58849
16/02/2021 15:50,30500403.8507,58850
16/02/2021 15:55,30500503.8707,58851
16/02/2021 16:00,30500503.8707,58851
16/02/2021 16:05,30500503.8707,58851
16/02/2021 16:10,30500503.8707,58851
16/02/2021 16:15,30500603.8707,58852
16/02/2021 16:20,30500603.8707,58852
16/02/2021 16:25,30500803.8907,58854
16/02/2021 16:30,30500803.8907,58854
16/02/2021 16:35,30500903.9207,58855
16/02/2021 16:40,30500903.9207,58855
16/02/2021 16:45,30501003.9507,58856
16/02/2021 16:50,30501103.9507,58857
16/02/2021 16:55,30501203.9707,58858
16/02/2021 17:00,30501403.9707,58860
16/02/2021 17:05,30501504.0007,58861
