datetime,vote_amount,block_amount
15/02/2021 22:17,29788345.7247,49449
15/02/2021 22:18,29788345.7247,49449
15/02/2021 22:19,29788345.7247,49449
15/02/2021 22:20,29788345.7247,49449
15/02/2021 22:21,29788345.7247,49449
15/02/2021 22:22,29788345.7247,49449
15/02/2021 22:23,29788345.7247,49449
15/02/2021 22:24,29788345.7247,49449
15/02/2021 22:25,29788345.7247,49449
15/02/2021 22:26,29788345.7247,49449
15/02/2021 22:27,29788345.7247,49449
15/02/2021 22:28,29788345.7247,49449
15/02/2021 22:29,29788345.7247,49449
15/02/2021 22:30,29788345.7247,49450
15/02/2021 22:31,29788445.7247,49450
15/02/2021 22:32,29788445.7247,49450
15/02/2021 22:33,29788445.7247,49450
15/02/2021 22:34,29788445.7247,49450
15/02/2021 22:35,29788445.7247,49450
15/02/2021 22:36,29788545.7247,49451
15/02/2021 22:37,29788545.7247,49451
15/02/2021 22:38,29788545.7247,49451
15/02/2021 22:39,29788545.7247,49452
15/02/2021 22:40,29788645.7247,49452
15/02/2021 22:41,29788645.7247,49452
15/02/2021 22:42,29788745.7247,49453
15/02/2021 22:43,29788745.7247,49453
15/02/2021 22:44,29788745.7247,49453
15/02/2021 22:45,29788745.7247,49453
15/02/2021 22:46,29788745.7247,49453
15/02/2021 22:47,29788745.7247,49453
15/02/2021 22:48,29788745.7247,49453
15/02/2021 22:49,29788745.7247,49454
15/02/2021 22:50,29788845.7247,49454
15/02/2021 22:51,29788845.7247,49454
15/02/2021 22:52,29788945.7347,49455
15/02/2021 22:53,29788945.7347,49455
15/02/2021 22:54,29788945.7347,49455
15/02/2021 23:03,29789045.7447,49456
15/02/2021 23:13,29789245.7547,49458
15/02/2021 23:23,29789345.7647,49459
15/02/2021 23:33,29789645.7747,49462
15/02/2021 23:43,29789845.7847,49464
15/02/2021 23:53,29790045.7847,49466
16/02/2021 00:03,29810145.7747,49467
16/02/2021 00:13,29810245.8147,49468
16/02/2021 00:23,29810345.8347,49469
16/02/2021 00:33,29810545.8947,49471
16/02/2021 00:43,29810645.9147,49472
16/02/2021 00:53,29810745.9247,49473
16/02/2021 01:03,29810745.9247,49473
16/02/2021 01:13,29810745.9247,49473
16/02/2021 01:23,29810845.9647,49474
16/02/2021 01:33,29810981.8225,49477
16/02/2021 01:43,29810981.8225,49477
16/02/2021 01:53,29810981.8225,49477
16/02/2021 02:03,29810894.7999,49478
16/02/2021 02:13,29811094.8699,49480
16/02/2021 02:23,29811094.8699,49480
16/02/2021 02:33,29811194.8799,49481
16/02/2021 02:43,29811294.9099,49482
16/02/2021 02:53,29811394.9299,49483
16/02/2021 03:03,29811594.9999,49485
16/02/2021 03:13,29811594.9999,49485
16/02/2021 03:23,29811794.9999,49487
16/02/2021 03:33,29811995.0299,49489
16/02/2021 03:43,29811995.0299,49489
16/02/2021 03:53,29812095.0499,49490
16/02/2021 04:03,29812095.0499,49490
16/02/2021 04:13,29812095.0499,49490
16/02/2021 04:23,29812195.0599,49491
16/02/2021 04:33,29812395.1199,49493
16/02/2021 04:43,29812395.1199,49493
16/02/2021 04:53,29812595.2399,49495
16/02/2021 05:03,29812695.2499,49496
16/02/2021 05:13,29817812.1082,49496
16/02/2021 05:23,29817812.1082,49496
16/02/2021 05:33,29817912.1082,49497
16/02/2021 05:43,29818112.2282,49499
